scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,drift_mean_abs_z,drift_max_ks
random,id,challenging,deployable_baseline_sensor_observed,False,56.16438966789368,38.06354697409946,0,0.0,39,78,0,0.0,2.54644359843292,43.61712818244114,False,,,,,,,0.37202299112880244,0.9252336448598131
round_robin,id,challenging,deployable_baseline_sensor_observed,False,51.11761676688559,38.10382068706917,0,0.0,39,78,0,0.0,0.33071891388307384,41.695654564296746,False,,,,,,,0.25604024521079505,0.7009345794392523
coolest_core_observed,id,challenging,deployable_baseline_sensor_observed,False,76.08001762786014,37.976297626043944,0,0.0,39,78,0,0.0,8.57959060794861,49.36737360571823,False,,,,,,,1.1349906363643956,0.9252336448598131
coolest_core_oracle_true_temp,id,challenging,oracle_privileged_true_temperature,True,53.12186696562019,38.09957013520869,0,0.0,39,78,0,0.0,1.7633419974582356,43.91760069421419,False,,,,,,,0.26354363173610706,0.7115983704768751
trend_aware_observed,id,challenging,deployable_baseline_sensor_observed,False,66.86799122361512,37.97932196824296,0,0.0,39,78,0,0.0,8.680977767509832,48.50210843085596,False,,,,,,,1.1502237697205242,0.9252336448598131
point_prediction_rf,id,challenging,model_based_sensor_observed,False,51.4270486284397,38.07677799725762,0,0.0,39,78,0,0.0,1.7633419974582356,41.91140392952969,False,,,,,,,0.3098787623847691,0.7607236999760364
uncalibrated_quantile,id,challenging,model_based_sensor_observed,False,59.55191862733515,38.0692285844628,0,0.0,39,78,0,0.0,4.78114787472632,47.01115374336318,False,,,,,,,0.5652162387380495,0.7770189312245387
conformal_upper_bound,id,challenging,model_based_sensor_observed,False,49.529941481922535,38.07782127722204,0,0.0,39,78,0,0.0,1.5360257159305635,41.187649658443135,False,1.0,1.0,0.09999999999999998,0.0,51.968402664928625,42.59421648967425,0.2699198568903207,0.6416546848789839
