scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,drift_mean_abs_z,drift_max_ks
random,ood,challenging,deployable_baseline_sensor_observed,False,69.13179299565137,41.817966304287864,0,0.0,60,126,0,0.0,2.9973947020704497,48.63389025687897,False,,,,,,,0.6973159821004915,0.8776145972407654
round_robin,ood,challenging,deployable_baseline_sensor_observed,False,67.45646270353389,41.80703284157507,0,0.0,60,126,0,0.0,0.33071891388307384,47.4549126600594,False,,,,,,,0.5662540940164622,0.6913662661326212
coolest_core_observed,ood,challenging,deployable_baseline_sensor_observed,False,102.60630045328486,41.52752022140471,48,0.26666666666666666,60,126,0,0.0,13.842303818367808,64.9835179018441,False,,,,,,,2.1705257524121913,0.9365079365079365
coolest_core_oracle_true_temp,ood,challenging,oracle_privileged_true_temperature,True,63.6197757498939,41.820807249710086,0,0.0,60,126,0,0.0,2.2043990110685496,48.01725446023702,False,,,,,,,0.4918642259481273,0.7347574543836226
trend_aware_observed,ood,challenging,deployable_baseline_sensor_observed,False,95.1665505604511,41.568154901243226,23,0.12777777777777777,60,126,0,0.0,12.404006409221175,59.840862850824415,False,,,,,,,1.9440065798828983,0.9252336448598131
point_prediction_rf,ood,challenging,model_based_sensor_observed,False,58.05529135852088,41.768205870357065,0,0.0,60,126,0,0.0,2.341874249399399,45.71066970333841,False,,,,,,,0.5917158005011139,0.6862483311081442
uncalibrated_quantile,ood,challenging,model_based_sensor_observed,False,61.44803456890295,41.777226801638385,0,0.0,60,126,0,0.0,3.018174116912409,49.557750851308974,False,,,,,,,0.6010323081166462,0.753968253968254
conformal_upper_bound,ood,challenging,model_based_sensor_observed,False,61.15829261640762,41.81140570306501,0,0.0,60,126,0,0.0,1.8328597873268975,45.00382266545591,False,0.8511904761904762,0.8492063492063492,-0.050793650793650835,19.0,53.07000034089077,46.3894099923643,0.5191172731778906,0.783266577659101
