split,scheduler,coverage_type,nominal_coverage,empirical_coverage,n
id,conformal_upper_bound,marginal_all_candidates_on_visited_states,0.9,1.0,1248
id,conformal_upper_bound,selected_core_after_scheduler_selection,0.9,1.0,78
ood,conformal_upper_bound,marginal_all_candidates_on_visited_states,0.9,0.8511904761904762,2016
ood,conformal_upper_bound,selected_core_after_scheduler_selection,0.9,0.8492063492063492,126
