split,model,metric,value
calibration,linear_point,mae,1.348271808534127
calibration,linear_point,rmse,1.9168316563192411
calibration,linear_point,max_abs_error,7.251958272088771
calibration,forest_point,mae,1.7566558304014144
calibration,forest_point,rmse,2.4393808703673256
calibration,forest_point,max_abs_error,9.252716647937682
calibration,quantile_upper,empirical_coverage,0.8376168224299065
calibration,quantile_upper,average_bound,48.96180195273393
calibration,quantile_upper,average_conservatism,3.854047880104615
calibration,conformal_upper,empirical_coverage,0.9007009345794392
calibration,conformal_upper,average_bound,52.16856173940565
calibration,conformal_upper,average_conservatism,7.060807666776318
test_id,linear_point,mae,1.277993487135873
test_id,linear_point,rmse,1.67687474513435
test_id,linear_point,max_abs_error,4.007192637885595
test_id,forest_point,mae,1.3526075712999757
test_id,forest_point,rmse,1.7094125230518329
test_id,forest_point,max_abs_error,4.58079419195753
test_id,quantile_upper,empirical_coverage,0.9959935897435898
test_id,quantile_upper,average_bound,48.80423620191161
test_id,quantile_upper,average_conservatism,5.617419046926618
test_id,conformal_upper,empirical_coverage,1.0
test_id,conformal_upper,average_bound,52.01099598858331
test_id,conformal_upper,average_conservatism,8.824178833598323
test_ood,linear_point,mae,4.420756760782544
test_ood,linear_point,rmse,6.062131584546308
test_ood,linear_point,max_abs_error,15.594383744607455
test_ood,forest_point,mae,5.155265962820788
test_ood,forest_point,rmse,7.201732141900556
test_ood,forest_point,max_abs_error,19.77118959310014
test_ood,quantile_upper,empirical_coverage,0.591765873015873
test_ood,quantile_upper,average_bound,49.91714165734554
test_ood,quantile_upper,average_conservatism,0.591652463335326
test_ood,conformal_upper,empirical_coverage,0.6592261904761905
test_ood,conformal_upper,average_bound,53.123901444017235
test_ood,conformal_upper,average_conservatism,3.7984122500070296
