scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,drift_mean_abs_z,drift_max_ks
random,ood,stress,deployable_baseline_sensor_observed,False,124.69772340644741,45.93351626745379,35,0.25,25,143,0,0.0,3.6991341892394227,65.93414438915863,False,,,,,,,0.9349507627434175,0.9020979020979021
round_robin,ood,stress,deployable_baseline_sensor_observed,False,82.84355177916859,45.95850479056965,0,0.0,25,143,0,0.0,0.24206145913796356,53.40894497936522,False,,,,,,,0.8344986973914484,0.8027972027972028
coolest_core_observed,ood,stress,deployable_baseline_sensor_observed,False,130.0,45.449773815187015,56,0.4,25,143,0,0.0,15.666320364080393,77.37809081977463,True,,,,,,,2.942085209714655,0.9818181818181818
coolest_core_oracle_true_temp,ood,stress,oracle_privileged_true_temperature,True,78.16512033315315,45.91272832197363,0,0.0,25,143,0,0.0,2.461421083439402,56.0858027513148,False,,,,,,,0.8205191456151377,0.7622377622377623
trend_aware_observed,ood,stress,deployable_baseline_sensor_observed,False,130.0,45.73326624071976,51,0.36428571428571427,25,143,0,0.0,13.320420179183538,75.63867147416443,True,,,,,,,2.5820809601134025,0.9818181818181818
point_prediction_rf,ood,stress,model_based_sensor_observed,False,70.81142775923749,45.926124845035055,0,0.0,25,143,0,0.0,1.5995604865087159,49.44974330311148,False,,,,,,,0.8131647933175739,0.8265734265734266
uncalibrated_quantile,ood,stress,model_based_sensor_observed,False,97.02748845947839,45.91108869567216,7,0.05,25,143,0,0.0,4.022883760438524,58.39567452852634,False,,,,,,,0.9239713046807023,0.965034965034965
conformal_upper_bound,ood,stress,model_based_sensor_observed,False,77.05980601939146,45.92165050024213,0,0.0,25,143,0,0.0,1.6381678027601445,50.139596841862776,False,0.770541958041958,0.7622377622377622,-0.13776223776223784,34.0,62.88877484233911,56.376720465283846,0.8006015913764398,0.8237762237762237
