scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,drift_mean_abs_z,drift_max_ks
random,id,stress,deployable_baseline_sensor_observed,False,78.56088639878791,39.346389421605785,0,0.0,27,101,0,0.0,3.565787956398978,47.39063202545143,False,,,,,,,0.3985316689458067,0.9090909090909091
round_robin,id,stress,deployable_baseline_sensor_observed,False,60.249747733430425,39.3440173932087,0,0.0,27,101,0,0.0,0.46351240544347894,42.93162175502117,False,,,,,,,0.2643931956424785,0.7704770477047704
coolest_core_observed,id,stress,deployable_baseline_sensor_observed,False,88.87592146197436,39.254986721611125,4,0.02857142857142857,27,101,0,0.0,11.167580031054177,54.258731075568484,False,,,,,,,1.431728058095675,0.9818181818181818
coolest_core_oracle_true_temp,id,stress,oracle_privileged_true_temperature,True,59.01420871126322,39.35347854208971,0,0.0,27,101,0,0.0,3.254204011736203,43.1430296013071,False,,,,,,,0.2194364911440522,0.6727272727272727
trend_aware_observed,id,stress,deployable_baseline_sensor_observed,False,84.71094225407874,39.263396673000926,0,0.0,27,101,0,0.0,9.777005868362767,52.40362247170575,False,,,,,,,1.2748591590747507,0.9818181818181818
point_prediction_rf,id,stress,model_based_sensor_observed,False,55.267487072535886,39.34558864740561,0,0.0,27,101,0,0.0,1.8614090764794289,42.97015426396673,False,,,,,,,0.2355766358355089,0.7537353735373538
uncalibrated_quantile,id,stress,model_based_sensor_observed,False,70.42677576823854,39.308861029609616,0,0.0,27,101,0,0.0,4.752877417943787,52.46391493519115,False,,,,,,,0.7354261549580096,0.9454545454545454
conformal_upper_bound,id,stress,model_based_sensor_observed,False,55.63605666304438,39.345492725522206,0,0.0,27,101,0,0.0,1.3095204274848102,42.297788830975904,False,1.0,1.0,0.09999999999999998,0.0,59.05261360382239,45.893120716332405,0.241264338962475,0.6181818181818182
