scheduler,split,episode_id,timestep,max_temperature,average_temperature,hotspot
random,id,7,0,35.00257063668204,34.9996580432265,False
random,id,7,1,35.11958364567505,35.007122130218264,False
random,id,7,2,35.23993849075291,35.01480016776031,False
random,id,7,3,35.35979173878981,35.02224091954497,False
random,id,7,4,35.478688085395675,35.029949579434884,False
random,id,7,5,35.59774326222651,35.043534421277435,False
random,id,7,6,35.71395518766588,35.056477423856606,False
random,id,7,7,35.830999122303204,35.068976698161094,False
random,id,7,8,35.948596310608416,35.08264446809736,False
random,id,7,9,36.06271025180361,35.11304447357593,False
random,id,7,10,36.17677762258348,35.14911998068959,False
random,id,7,11,36.292610867370676,35.18553693345282,False
random,id,7,12,36.40177080952432,35.22731361871248,False
random,id,7,13,36.50956524432775,35.28220413777731,False
random,id,7,14,36.62344405618902,35.337683069742795,False
random,id,7,15,36.73074816206013,35.400491581751815,False
random,id,7,16,36.83836024870404,35.46267240759323,False
random,id,7,17,36.946808011810454,35.53737027938033,False
random,id,7,18,37.05640303080659,35.61457959262782,False
random,id,7,19,37.16450984987569,35.691275851783374,False
random,id,7,20,37.27281868782021,35.76738022289224,False
random,id,7,21,37.38002826888258,35.84302145758757,False
random,id,7,22,37.560784995349174,35.918652820517,False
random,id,7,23,37.740601729943904,35.9985380933839,False
random,id,7,24,37.91837441165559,36.08325993641217,False
random,id,7,25,38.095395755028406,36.16775958252539,False
random,id,7,26,38.318275162934405,36.254823499165866,False
random,id,7,27,38.537924183023954,36.35152673011133,False
random,id,7,28,38.75293332481152,36.44752969350692,False
random,id,7,29,38.967861844561234,36.55224082130678,False
random,id,7,30,39.18286967849605,36.659746676210844,False
random,id,7,31,39.39285324424534,36.76714686946511,False
random,id,7,32,39.6058329853291,36.874383829032226,False
random,id,7,33,39.81458707834262,37.005219295670386,False
random,id,7,34,40.02311787149523,37.13810217391636,False
random,id,7,35,40.22935948994867,37.278004378566465,False
random,id,7,36,40.646180416468674,37.44325774967385,False
random,id,7,37,41.05781101561859,37.60839883866279,False
random,id,7,38,41.3855899178096,37.769939808758835,False
random,id,7,39,41.71286147572352,37.92448363652615,False
random,id,7,40,42.03695906536893,38.07770383501503,False
