split,scheduler,coverage_type,nominal_coverage,empirical_coverage,n
id,conformal_upper_bound,marginal_all_candidates_on_visited_states,0.9,1.0,1888
id,conformal_upper_bound,selected_core_after_scheduler_selection,0.9,1.0,118
ood,conformal_upper_bound,marginal_all_candidates_on_visited_states,0.9,0.6857638888888888,2304
ood,conformal_upper_bound,selected_core_after_scheduler_selection,0.9,0.6805555555555556,144
