scheduler,split,episode_id,timestep,max_temperature,average_temperature,hotspot
random,id,6,0,35.0035229684338,34.999633492650425,False
random,id,6,1,35.082894186515986,35.004246263729,False
random,id,6,2,35.164394014928554,35.013734881744455,False
random,id,6,3,35.24673003054109,35.022710042091916,False
random,id,6,4,35.32964012164854,35.03157670015871,False
random,id,6,5,35.407776184514546,35.04002876137507,False
random,id,6,6,35.48967539074756,35.048918860647426,False
random,id,6,7,35.56994569807879,35.063172828874116,False
random,id,6,8,35.64842287127858,35.07778518543628,False
random,id,6,9,35.72517120151058,35.092458340498105,False
random,id,6,10,35.80029232892832,35.10593412314664,False
random,id,6,11,35.87210808100046,35.120034481699136,False
random,id,6,12,35.945667527768855,35.133685714613634,False
random,id,6,13,36.02317823345848,35.155233879242495,False
random,id,6,14,36.098205069601576,35.17667978466729,False
random,id,6,15,36.17096592334402,35.19836035248238,False
random,id,6,16,36.242513420867155,35.21893769627847,False
random,id,6,17,36.31615866193309,35.240302767259706,False
random,id,6,18,36.38633878128884,35.262492451973614,False
random,id,6,19,36.459503707530736,35.28342738208464,False
random,id,6,20,36.52858753608904,35.30369178456387,False
random,id,6,21,36.60055081821194,35.327301744304854,False
random,id,6,22,36.67006893398811,35.35088187316944,False
random,id,6,23,36.73734762801431,35.37389676363803,False
random,id,6,24,36.80687770728638,35.397529661150315,False
random,id,6,25,36.79165709200564,35.41538930037491,False
random,id,6,26,36.77555871450326,35.43299522094709,False
random,id,6,27,36.88727111756996,35.44979225919294,False
random,id,6,28,37.022382264077336,35.47028650498352,False
random,id,6,29,37.1581047707964,35.493505804275,False
random,id,6,30,37.28883185916307,35.51602042460608,False
random,id,6,31,37.4228609181764,35.53859771691346,False
random,id,6,32,37.55843620510805,35.56121967418975,False
random,id,6,33,37.69067077250002,35.60231123037946,False
random,id,6,34,37.82141384154484,35.64787309862828,False
random,id,6,35,37.95224247753441,35.69400081882603,False
random,id,6,36,38.07915185228264,35.74735546987979,False
random,id,6,37,38.206693214044314,35.799189901386406,False
random,id,6,38,38.33067436691806,35.85566384868979,False
random,id,6,39,38.454318441658735,35.92337793102399,False
random,id,6,40,38.578526973054096,35.990604962299344,False
random,id,6,41,38.784019012370635,36.063017349289176,False
random,id,6,42,38.99097191656338,36.138030945030316,False
random,id,6,43,39.08216692963566,36.20463373655334,False
random,id,6,44,39.17201639104965,36.268405314096356,False
random,id,6,45,39.25985944244865,36.332240607051794,False
random,id,6,46,39.34651412679054,36.39515073022357,False
random,id,6,47,39.4349991584834,36.45803765872513,False
random,id,6,48,39.52070458103489,36.5382641590119,False
random,id,6,49,39.60914672242943,36.6328457511226,False
random,id,6,50,39.69613946394465,36.725636262989674,False
random,id,6,51,39.73976772855532,36.81585757756898,False
random,id,6,52,39.78643298139884,36.917868679403796,False
random,id,6,53,39.83080185658326,37.02743877163706,False
random,id,6,54,39.87956873678922,37.14214607289341,False
random,id,6,55,39.92797486083025,37.25591593812882,False
random,id,6,56,39.976920231712235,37.36941739583145,False
random,id,6,57,40.26563476991192,37.479553569528505,False
random,id,6,58,40.59671452976644,37.58854642710024,False
random,id,6,59,40.92594774726481,37.69199472518872,False
random,id,6,60,41.25299860072085,37.79044126018354,False
random,id,6,61,41.57588008618405,37.89569968522197,False
random,id,6,62,41.899290139492926,37.999555508257174,False
random,id,6,63,42.21452645281481,38.097266863687416,False
random,id,6,64,42.53264843861009,38.193081626376596,False
random,id,6,65,42.85006108795402,38.287890429597944,False
random,id,6,66,43.16310544859288,38.3945243736255,False
random,id,6,67,43.47071660159597,38.50138585057823,False
random,id,6,68,43.776087063692266,38.60746938804084,False
random,id,6,69,44.08299507544664,38.70659117559157,False
random,id,7,0,35.003917325039,34.99994539085512,False
random,id,7,1,35.1723173777088,35.01161942724303,False
random,id,7,2,35.341096680747086,35.0240619960543,False
random,id,7,3,35.506682933927344,35.036273567576174,False
random,id,7,4,35.67400377708071,35.049100062499384,False
random,id,7,5,35.83870673263867,35.06187868754256,False
random,id,7,6,36.003236347300536,35.08579810367631,False
random,id,7,7,36.165288083124246,35.10971029089265,False
random,id,7,8,36.32478450395784,35.14305618100187,False
random,id,7,9,36.484444368121984,35.19190295529974,False
random,id,7,10,36.640464439042326,35.24006545794239,False
random,id,7,11,36.79712314602811,35.29860335394571,False
random,id,7,12,36.95066168538726,35.35694034955878,False
random,id,7,13,37.10560546004686,35.4188409415932,False
random,id,7,14,37.25867992537004,35.4791158140496,False
random,id,7,15,37.40648928898852,35.53869069149386,False
random,id,7,16,37.55665870223173,35.59803452989142,False
random,id,7,17,37.704532796642894,35.66067381593567,False
random,id,7,18,37.99712185970078,35.72372780572202,False
random,id,7,19,38.319249937753156,35.789938812489055,False
random,id,7,20,38.82475689413307,35.880313710395626,False
random,id,7,21,39.3271082121472,35.97634336421392,False
random,id,7,22,39.823482310336175,36.072011892268655,False
random,id,7,23,40.31914447372913,36.167576374179774,False
random,id,7,24,40.80899821079918,36.27289365473081,False
random,id,7,25,41.29611382194063,36.377356868707366,False
random,id,7,26,41.77867833980779,36.481113938121894,False
random,id,7,27,42.25822203819798,36.58269115079274,False
random,id,7,28,42.858671796730356,36.68854072141523,False
random,id,7,29,43.456496624540954,36.794048931570984,False
random,id,7,30,44.04934176011231,36.89937008609287,False
random,id,7,31,44.636329851415745,37.014557733091095,False
random,id,7,32,45.213629730015114,37.12785935719451,False
random,id,7,33,45.79097991666937,37.245325380468465,False
random,id,7,34,46.3647378779561,37.36867237341791,False
random,id,7,35,46.935137139067216,37.4895699650585,False
random,id,7,36,47.5431230558438,37.61345439141489,False
random,id,7,37,48.14538986237922,37.75258369238266,False
random,id,7,38,48.74121026485143,37.89196242627455,False
random,id,7,39,49.333403424968,38.02993782538155,False
random,id,7,40,49.918248641010635,38.17020072991149,False
random,id,7,41,50.499539780695464,38.30969252817239,False
random,id,7,42,51.07608777412652,38.44829284733086,False
random,id,7,43,51.650658671281164,38.587282272306865,False
random,id,7,44,52.27271394466059,38.72846422844802,False
random,id,7,45,52.84576356690911,38.877139869759986,False
random,id,7,46,53.416500152876765,39.026930719250984,False
random,id,7,47,53.98334653696939,39.17669003474127,False
random,id,7,48,54.54433243635221,39.336477442237765,False
random,id,7,49,55.00119382816223,39.50205671625339,False
random,id,7,50,55.462541691092085,39.66715323260447,False
random,id,7,51,55.91444613061081,39.827180015095706,False
random,id,7,52,56.40412521602838,39.98369136808189,False
random,id,7,53,56.888874392119924,40.14058104818957,False
random,id,7,54,57.37047157781144,40.30111333805647,False
random,id,7,55,57.85243906723369,40.459000079844074,False
random,id,7,56,58.332752065230004,40.61582106129113,False
random,id,7,57,58.805993800615596,40.7687445657205,False
random,id,7,58,59.3465781044291,40.925741270893226,False
random,id,7,59,59.88290823343864,41.08239108314842,False
random,id,7,60,60.41965667993884,41.247329069902165,False
random,id,7,61,60.95206208154717,41.423749943468856,False
random,id,7,62,61.480907339192605,41.59941474472761,False
random,id,7,63,61.96102891907009,41.774368684667465,False
random,id,7,64,62.433768496362156,41.94858323631035,False
random,id,7,65,62.87031050453505,42.11778802976812,False
random,id,7,66,63.17627611010517,42.26716808885161,False
random,id,7,67,63.478805009679746,42.433744650798204,False
random,id,7,68,63.785525557496115,42.597666700744725,False
random,id,7,69,64.0814112094736,42.764316279963666,False
round_robin,id,6,0,35.0035229684338,34.999633492650425,False
round_robin,id,6,1,35.08302020542642,35.00391721485838,False
round_robin,id,6,2,35.162037112998256,35.0133152538875,False
round_robin,id,6,3,35.2381166328264,35.02219587952857,False
round_robin,id,6,4,35.31395187913176,35.03096407217261,False
round_robin,id,6,5,35.39059194555229,35.03931376238011,False
round_robin,id,6,6,35.46537584975376,35.048097610308375,False
round_robin,id,6,7,35.54282569433038,35.06214618699882,False
round_robin,id,6,8,35.62064452303885,35.076549668415595,False
round_robin,id,6,9,35.69531696517121,35.09101048956694,False
round_robin,id,6,10,35.76903302415779,35.10427050447566,False
round_robin,id,6,11,35.841309481875726,35.118151686481355,False
round_robin,id,6,12,35.9141545141364,35.131580359145865,False
round_robin,id,6,13,35.9847376368539,35.152616310050334,False
round_robin,id,6,14,36.05570494149145,35.17352877578988,False
round_robin,id,6,15,36.13145441593438,35.194654938893336,False
round_robin,id,6,16,36.20117105789666,35.21465717154007,False
round_robin,id,6,17,36.27245748656448,35.23542668119573,False
round_robin,id,6,18,36.34488770369152,35.257000608360826,False
round_robin,id,6,19,36.415274720482415,35.277299836362594,False
round_robin,id,6,20,36.485706947117635,35.29690884156315,False
round_robin,id,6,21,36.55465764377645,35.31974631157167,False
round_robin,id,6,22,36.6238292593843,35.34253400899198,False
round_robin,id,6,23,36.69045412613579,35.36473676633376,False
round_robin,id,6,24,36.75993121288265,35.38753806709576,False
round_robin,id,6,25,36.74804211645057,35.40487593091892,False
round_robin,id,6,26,36.73593283407936,35.42195343906848,False
round_robin,id,6,27,36.72340759237167,35.43821549321189,False
round_robin,id,6,28,36.71374717069051,35.45810483914487,False
round_robin,id,6,29,36.80378481307263,35.480831340038804,False
round_robin,id,6,30,36.90435807860446,35.50285778276948,False
round_robin,id,6,31,37.00123504740163,35.52495149051056,False
round_robin,id,6,32,37.09923491547551,35.547094428537704,False
round_robin,id,6,33,37.19794865325542,35.58789190559927,False
round_robin,id,6,34,37.29644722655604,35.632986709044474,False
round_robin,id,6,35,37.39580667792406,35.67866215872241,False
round_robin,id,6,36,37.49397900861976,35.73147783443554,False
round_robin,id,6,37,37.59334650162725,35.78278492314715,False
round_robin,id,6,38,37.686863068424685,35.838771276088565,False
round_robin,id,6,39,37.783097479113934,35.90641172192617,False
round_robin,id,6,40,37.87718366384314,35.97356442818228,False
round_robin,id,6,41,37.972328975009596,36.04572268402653,False
round_robin,id,6,42,38.066227716912664,36.120564704223895,False
round_robin,id,6,43,38.047051972641846,36.18727942649842,False
round_robin,id,6,44,38.029391792563395,36.251088802661585,False
round_robin,id,6,45,38.01264681750704,36.314968612381406,False
round_robin,id,6,46,37.995372817215525,36.37792987321329,False
round_robin,id,6,47,38.00583538821411,36.440874464163095,False
round_robin,id,6,48,38.193880069782324,36.520810825500774,False
round_robin,id,6,49,38.381984030967715,36.61515129695354,False
round_robin,id,6,50,38.564811918173575,36.70769986610118,False
round_robin,id,6,51,38.74694301465298,36.79777603509696,False
round_robin,id,6,52,38.92851685950249,36.90002550181549,False
round_robin,id,6,53,39.10837039382976,37.010175274067855,False
round_robin,id,6,54,39.28831187879,37.12560538748574,False
round_robin,id,6,55,39.4654554105277,37.24013312695284,False
round_robin,id,6,56,39.642743198986906,37.35442702997835,False
round_robin,id,6,57,39.81881865048139,37.465281166744134,False
round_robin,id,6,58,39.99417669166404,37.57502447387036,False
round_robin,id,6,59,40.08685752251999,37.67935051467847,False
round_robin,id,6,60,40.179395589198805,37.77867772984756,False
round_robin,id,6,61,40.269785047346396,37.884915748853714,False
round_robin,id,6,62,40.36270517591192,37.98979163590185,False
round_robin,id,6,63,40.449435193048124,38.08867458474795,False
round_robin,id,6,64,40.5410162182095,38.18572575865694,False
round_robin,id,6,65,40.63383512861242,38.28181019462066,False
round_robin,id,6,66,40.724214852131375,38.389835827619734,False
round_robin,id,6,67,40.811072530658336,38.49809803809602,False
round_robin,id,6,68,40.89758292053339,38.60559122215842,False
round_robin,id,6,69,40.987506675506424,38.70594402192943,False
round_robin,id,7,0,35.003917325039,34.99994539085512,False
round_robin,id,7,1,35.17704687163027,35.01177401484509,False
round_robin,id,7,2,35.349687024870605,35.02436284979983,False
round_robin,id,7,3,35.51729326980972,35.036715325661405,False
round_robin,id,7,4,35.68776938510755,35.04967735697944,False
round_robin,id,7,5,35.85560879459355,35.062586145358665,False
round_robin,id,7,6,36.01973265633954,35.08654968582776,False
round_robin,id,7,7,36.18164849853632,35.11047605060525,False
round_robin,id,7,8,36.34610749921311,35.14380655503311,False
round_robin,id,7,9,36.507620279670945,35.19301560267972,False
round_robin,id,7,10,36.665570660410125,35.24151009378024,False
round_robin,id,7,11,36.8247349883921,35.300578767474285,False
round_robin,id,7,12,36.97828757250646,35.35940576314974,False
round_robin,id,7,13,37.13289778943136,35.42187983721769,False
round_robin,id,7,14,37.287075482971595,35.482689200345675,False
round_robin,id,7,15,37.44162934687077,35.54276009935739,False
round_robin,id,7,16,37.5923721905222,35.602562006561115,False
round_robin,id,7,17,37.740943182127985,35.66549889806928,False
round_robin,id,7,18,37.889918660877576,35.728823119217765,False
round_robin,id,7,19,38.03711592421636,35.79546300719251,False
round_robin,id,7,20,38.18224173990879,35.88590280421481,False
round_robin,id,7,21,38.32839383091927,35.98172006597394,False
round_robin,id,7,22,38.47233134574647,36.077156983594655,False
round_robin,id,7,23,38.61481428734495,36.172471005621276,False
round_robin,id,7,24,38.794348052725674,36.27751564625457,False
round_robin,id,7,25,38.96949245403988,36.38168248443866,False
round_robin,id,7,26,39.145182582105434,36.4851198824684,False
round_robin,id,7,27,39.32141315027916,36.5863575182436,False
round_robin,id,7,28,39.49606400933867,36.69210028214739,False
round_robin,id,7,29,39.66926037002033,36.79746961938449,False
round_robin,id,7,30,39.84384319284885,36.90262036859981,False
round_robin,id,7,31,40.01419700047205,37.01745211057994,False
round_robin,id,7,32,40.18162602393268,37.13034282689645,False
round_robin,id,7,33,40.34759170773788,37.247423321332576,False
round_robin,id,7,34,40.51366483460422,37.370276383726264,False
round_robin,id,7,35,40.677824787204436,37.49063971674862,False
round_robin,id,7,36,40.84262968220504,37.61410853465172,False
round_robin,id,7,37,41.01323624924753,37.75273226023995,False
round_robin,id,7,38,41.28911393852475,37.891563387995234,False
round_robin,id,7,39,41.55994424768927,38.02894982531993,False
round_robin,id,7,40,41.82711535729908,38.16851638924476,False
round_robin,id,7,41,42.092367581371334,38.30727931632913,False
round_robin,id,7,42,42.35824300610118,38.4451187904291,False
round_robin,id,7,43,42.6247015018687,38.58331594577156,False
round_robin,id,7,44,42.88306428803116,38.723852145688504,False
round_robin,id,7,45,43.14270730079833,38.871727310258564,False
round_robin,id,7,46,43.4023021259006,39.02070344479107,False
round_robin,id,7,47,43.65936900841046,39.16961828666009,False
round_robin,id,7,48,43.91148172391223,39.328422389206395,False
round_robin,id,7,49,44.167591323590656,39.49273495690808,False
round_robin,id,7,50,44.41854975680545,39.65654245298823,False
round_robin,id,7,51,44.669453397298426,39.81561294947845,False
round_robin,id,7,52,44.91525018512937,39.970999975563295,False
round_robin,id,7,53,45.16253641997111,40.12674381741575,False
round_robin,id,7,54,45.40837161456703,40.28622729258595,False
round_robin,id,7,55,45.65282172830669,40.44305601974191,False
round_robin,id,7,56,45.895505538226864,40.59879154062287,False
round_robin,id,7,57,46.13239225890928,40.750651633521244,False
round_robin,id,7,58,46.44493861538661,40.906704695981,False
round_robin,id,7,59,46.76178689320219,41.06237769118793,False
round_robin,id,7,60,47.07092626368508,41.22634803239502,False
round_robin,id,7,61,47.37948744631676,41.4017488310877,False
round_robin,id,7,62,47.68645914273011,41.57635266551087,False
round_robin,id,7,63,47.992414456963516,41.75004871984012,False
round_robin,id,7,64,48.29525788850347,41.92297258352346,False
round_robin,id,7,65,48.59589103781785,42.09088098647463,False
round_robin,id,7,66,48.893720951719985,42.23863876525712,False
round_robin,id,7,67,49.18943549523798,42.40366147591499,False
round_robin,id,7,68,49.48579568455217,42.565972691477896,False
round_robin,id,7,69,49.78149627037169,42.730897835912224,False
coolest_core_observed,id,6,0,35.0035229684338,34.999633492650425,False
coolest_core_observed,id,6,1,35.079062991590334,35.003947262963266,False
coolest_core_observed,id,6,2,35.22568030077467,35.013102696537636,False
coolest_core_observed,id,6,3,35.365471161531865,35.02173243488986,False
coolest_core_observed,id,6,4,35.50393197657866,35.03024159892574,False
coolest_core_observed,id,6,5,35.64170446824043,35.038324257895,False
coolest_core_observed,id,6,6,35.778828415412704,35.046833208840894,False
coolest_core_observed,id,6,7,35.91490990195126,35.06062438791187,False
coolest_core_observed,id,6,8,36.05459281537231,35.07475118038194,False
coolest_core_observed,id,6,9,36.19029436460894,35.088916333363514,False
coolest_core_observed,id,6,10,36.32235407771566,35.101862008977804,False
coolest_core_observed,id,6,11,36.454393077382186,35.1154104847057,False
coolest_core_observed,id,6,12,36.5854889122064,35.1284883843415,False
coolest_core_observed,id,6,13,36.71188663336692,35.14919309035376,False
coolest_core_observed,id,6,14,36.83698191941897,35.16975661406311,False
coolest_core_observed,id,6,15,36.96323592200736,35.19051642837932,False
coolest_core_observed,id,6,16,37.08694417539666,35.21013519212682,False
coolest_core_observed,id,6,17,37.213020463691684,35.230504395725916,False
coolest_core_observed,id,6,18,37.338099513159634,35.251661458986334,False
coolest_core_observed,id,6,19,37.46226305794701,35.27152754094351,False
coolest_core_observed,id,6,20,37.5851967429057,35.29068739011061,False
coolest_core_observed,id,6,21,37.70602429643122,35.313133143573054,False
coolest_core_observed,id,6,22,37.82486409334374,35.33550797250531,False
coolest_core_observed,id,6,23,37.943300987812535,35.35727705579191,False
coolest_core_observed,id,6,24,38.056960736908245,35.37962421885629,False
coolest_core_observed,id,6,25,38.09328320512374,35.39645777076315,False
coolest_core_observed,id,6,26,38.13069731546165,35.41301135075152,False
coolest_core_observed,id,6,27,38.16576995744663,35.428730188102946,False
coolest_core_observed,id,6,28,38.139432675627965,35.448355705693515,False
coolest_core_observed,id,6,29,38.11074837378254,35.470754517562554,False
coolest_core_observed,id,6,30,38.083116857155204,35.49241481233416,False
coolest_core_observed,id,6,31,38.05282846841388,35.51410444332447,False
coolest_core_observed,id,6,32,38.02469249463289,35.53580590009888,False
coolest_core_observed,id,6,33,37.9982901048851,35.57630850734168,False
coolest_core_observed,id,6,34,37.97227162000493,35.621064183736685,False
coolest_core_observed,id,6,35,37.947711284135984,35.66630993918666,False
coolest_core_observed,id,6,36,38.36322542623427,35.71855340681104,False
coolest_core_observed,id,6,37,38.90172919140351,35.769184472154215,False
coolest_core_observed,id,6,38,39.4357648141345,35.82439249072959,False
coolest_core_observed,id,6,39,39.96635816958404,35.89081026267775,False
coolest_core_observed,id,6,40,40.491678178974034,35.956616348167316,False
coolest_core_observed,id,6,41,41.00980569409764,36.02724943124802,False
coolest_core_observed,id,6,42,41.52361313336844,36.10033348904054,False
coolest_core_observed,id,6,43,42.0323023881018,36.16512428377937,False
coolest_core_observed,id,6,44,42.489360371678934,36.226972502455894,False
coolest_core_observed,id,6,45,42.93721963915204,36.28877479469362,False
coolest_core_observed,id,6,46,43.38485792677634,36.34954397447732,False
coolest_core_observed,id,6,47,43.82420628561239,36.410183695297334,False
coolest_core_observed,id,6,48,44.26225764581018,36.48760379798523,False
coolest_core_observed,id,6,49,44.698409347976366,36.579107282981795,False
coolest_core_observed,id,6,50,45.13039186209338,36.66867317638341,False
coolest_core_observed,id,6,51,45.51834864983146,36.755550063427506,False
coolest_core_observed,id,6,52,45.90034445007151,36.85403009202395,False
coolest_core_observed,id,6,53,46.28056576699211,36.95994137966983,False
coolest_core_observed,id,6,54,46.657551440234705,37.07085932551173,False
coolest_core_observed,id,6,55,47.02958194690623,37.18068580063858,False
coolest_core_observed,id,6,56,47.40137696911232,37.29009222787565,False
coolest_core_observed,id,6,57,47.712994131366685,37.39590938620171,False
coolest_core_observed,id,6,58,48.02345495383766,37.500444048940736,False
coolest_core_observed,id,6,59,48.33333059147487,37.59936721940608,False
coolest_core_observed,id,6,60,48.63674134315793,37.69313690027721,False
coolest_core_observed,id,6,61,48.93580480028385,37.79361273616611,False
coolest_core_observed,id,6,62,49.236237706361095,37.89256103821343,False
coolest_core_observed,id,6,63,49.43908083101968,37.98526868999953,False
coolest_core_observed,id,6,64,49.87330252184135,38.07602259899342,False
coolest_core_observed,id,6,65,50.478360386147244,38.1656703171238,False
coolest_core_observed,id,6,66,51.07865668683506,38.26712201793356,False
coolest_core_observed,id,6,67,51.67302472541994,38.36867529358352,False
coolest_core_observed,id,6,68,52.25958748428262,38.46932672536329,False
coolest_core_observed,id,6,69,52.84424545529721,38.56268123752363,False
coolest_core_observed,id,7,0,35.003917325039,34.99994539085512,False
coolest_core_observed,id,7,1,35.165391793048336,35.011353359070085,False
coolest_core_observed,id,7,2,35.33171080370251,35.02344053925633,False
coolest_core_observed,id,7,3,35.49576535600304,35.03526542545407,False
coolest_core_observed,id,7,4,35.65526591484611,35.04767435955852,False
coolest_core_observed,id,7,5,35.817466043802845,35.06000496500822,False
coolest_core_observed,id,7,6,35.973571080040855,35.0834975834942,False
coolest_core_observed,id,7,7,36.128587770582456,35.106927992223405,False
coolest_core_observed,id,7,8,36.282867510762685,35.140441789910255,False
coolest_core_observed,id,7,9,36.43500587882568,35.190296045523084,False
coolest_core_observed,id,7,10,36.89442645174462,35.23936916692029,False
coolest_core_observed,id,7,11,37.48041807316177,35.299191729185935,False
coolest_core_observed,id,7,12,38.06622038134533,35.35869276434461,False
coolest_core_observed,id,7,13,38.64461299269822,35.42160904189071,False
coolest_core_observed,id,7,14,39.215963761316246,35.482776972271296,False
coolest_core_observed,id,7,15,39.782318601143544,35.54312405786102,False
coolest_core_observed,id,7,16,40.34509699071169,35.60312101089295,False
coolest_core_observed,id,7,17,40.89829657313364,35.666064418307556,False
coolest_core_observed,id,7,18,41.45015351205546,35.72930824688288,False
coolest_core_observed,id,7,19,41.99392769466062,35.795518897827506,False
coolest_core_observed,id,7,20,42.53452520405141,35.88475690601964,False
coolest_core_observed,id,7,21,43.07023743225846,35.979144940435376,False
coolest_core_observed,id,7,22,43.602456472446946,36.07299527189343,False
coolest_core_observed,id,7,23,44.12868993690626,36.166567681149836,False
coolest_core_observed,id,7,24,44.64961902436903,36.26991132913777,False
coolest_core_observed,id,7,25,45.16458450919081,36.372207724303166,False
coolest_core_observed,id,7,26,45.6725712727086,36.473607764576045,False
coolest_core_observed,id,7,27,46.17980312494011,36.57270273657685,False
coolest_core_observed,id,7,28,46.6828965160776,36.67630699445136,False
coolest_core_observed,id,7,29,47.180013945625454,36.77937242753659,False
coolest_core_observed,id,7,30,47.673330161215745,36.882056396652665,False
coolest_core_observed,id,7,31,48.16102411334843,36.99460430377401,False
