scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,drift_mean_abs_z,drift_max_ks
random,id,challenging,deployable_baseline_sensor_observed,False,64.0814112094736,37.04537631263993,0,0.0,28,75,0,0.0,2.973187473066574,42.970394504190345,False,,,,,,,0.5943388761707455,0.76
round_robin,id,challenging,deployable_baseline_sensor_observed,False,49.78149627037169,37.03777420327875,0,0.0,28,75,0,0.0,0.46351240544347894,39.508832017147654,False,,,,,,,0.3492994853207567,0.7094372294372294
coolest_core_observed,id,challenging,deployable_baseline_sensor_observed,False,65.56457982182272,36.990112146664124,0,0.0,28,75,0,0.0,8.886216503664537,45.17124961120322,False,,,,,,,1.290939464489861,0.948051948051948
coolest_core_oracle_true_temp,id,challenging,oracle_privileged_true_temperature,True,50.73320306435224,37.036094469508434,0,0.0,28,75,0,0.0,1.7929985359726315,39.95935037726771,False,,,,,,,0.3369389454795019,0.736103896103896
trend_aware_observed,id,challenging,deployable_baseline_sensor_observed,False,65.63246863741094,36.98851934466908,0,0.0,28,75,0,0.0,8.453688174400568,45.174311366822245,False,,,,,,,1.291024211482223,0.948051948051948
point_prediction_rf,id,challenging,model_based_sensor_observed,False,47.28400489963457,37.0354582619514,0,0.0,28,75,0,0.0,1.8946882989030147,39.71600814328041,False,,,,,,,0.38307502835834634,0.7466666666666666
uncalibrated_quantile,id,challenging,model_based_sensor_observed,False,52.14478687231963,37.01632099794907,0,0.0,28,75,0,0.0,3.9799301187332423,43.213142416451554,False,,,,,,,0.7126054928400357,0.922077922077922
conformal_upper_bound,id,challenging,model_based_sensor_observed,False,47.51332240761761,37.03373396827566,0,0.0,28,75,0,0.0,1.260890062614501,39.173861100669036,False,1.0,1.0,0.09999999999999998,0.0,47.03748755800204,41.121012319340004,0.38830533962784397,0.7866666666666666
