split,scheduler,feature,calibration_mean,visited_mean,abs_mean_z_shift,ks_stat
id,random,sensor_temp_imputed_0,39.782006836925845,37.03923634135524,0.722062612711627,0.3894574836475567
id,random,sensor_temp_imputed_1,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_2,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_3,38.72233661876498,41.06534553479992,0.7767438227341106,0.2572527895344363
id,random,sensor_temp_imputed_4,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_5,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_6,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_7,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_8,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_9,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_10,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_11,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_12,37.617247275945715,40.50207313475614,1.083330243069802,0.2921893035782994
id,random,sensor_temp_imputed_13,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_14,38.95809821920025,39.31184612507405,0.10662938129255654,0.10958060792612545
id,random,sensor_temp_imputed_15,39.71080214516449,38.64072948938488,0.2433701272499973,0.2017699115044248
id,random,power_0,2.7007743592665663,1.055367698165122,1.005710759978727,0.6340130819545979
id,random,power_1,1.7499412276601995,0.7278729459639551,0.846591998845673,0.5444401692958831
id,random,power_2,2.3721857836757305,2.8826263021540637,0.31075384873243345,0.4301654482493266
id,random,power_3,2.008698718854531,2.9755839091448286,0.6352365236293651,0.38053097345132747
id,random,power_4,1.4621819364234145,0.6593226195625116,0.574493727743692,0.4034628703347441
id,random,power_5,2.92978126534637,0.6962577171540655,1.0957923214254492,0.6695652173913044
id,random,power_6,1.6087506909574352,3.734227458731277,1.5644914437090094,0.3813005001923817
id,random,power_7,0.6860474051003527,2.590509024588805,2.522899676099919,0.4247787610619469
id,random,power_8,1.529956466035745,0.9016537224701775,0.772562128431941,0.45017314351673726
id,random,power_9,1.9630697922684748,2.277603913458949,0.2083818130631843,0.26433243555213537
id,random,power_10,0.8916290268452227,0.7020024550659549,0.22894585424124445,0.28995767602924205
id,random,power_11,1.762740689137156,1.8014057775167494,0.03248413345589274,0.2769526741054251
id,random,power_12,1.5836165754157283,3.1438666948364853,1.2239151665300045,0.4513274336283186
id,random,power_13,2.3651962981689807,3.2126952730700893,0.43493790947708566,0.27579838399384377
id,random,power_14,2.59041617062136,2.63229688152127,0.019287583165625958,0.22177760677183533
id,random,power_15,2.271348422546078,1.7976031861500776,0.3027014439866528,0.33843786071565984
id,random,load_0,28.756521739130434,13.20353982300885,0.8128401069907232,0.3843786071565988
id,random,load_1,21.130434782608695,8.628318584070797,0.8413799849092468,0.4402462485571374
id,random,load_2,41.91304347826087,40.08849557522124,0.06029874817224137,0.14090034628703352
id,random,load_3,19.46086956521739,40.256637168141594,1.187220636300875,0.37491342824163143
id,random,load_4,24.68695652173913,14.442477876106194,0.32333706114337557,0.33266641015775295
id,random,load_5,34.08695652173913,11.327433628318584,0.8538928102336315,0.46494805694497887
id,random,load_6,35.130434782608695,70.68141592920354,1.1562073242411508,0.3901500577145056
id,random,load_7,7.956521739130435,41.31858407079646,4.023989549463508,0.4247787610619469
id,random,load_8,32.44347826086957,15.601769911504425,0.8494260536569929,0.3963062716429396
id,random,load_9,35.06956521739131,42.743362831858406,0.23492972202225587,0.16313966910350142
id,random,load_10,10.695652173913043,11.5929203539823,0.07613543039403184,0.25378991919969224
id,random,load_11,30.191304347826087,23.07079646017699,0.2663489279970058,0.268410927279723
id,random,load_12,23.130434782608695,60.67256637168141,1.859543195697205,0.40846479415159676
id,random,load_13,38.78260869565217,57.2212389380531,0.651912650487069,0.16814159292035402
id,random,load_14,43.56521739130435,44.575221238938056,0.029852511918274895,0.17183532127741438
id,random,load_15,25.017391304347825,37.389380530973455,0.8174249344621756,0.4160831088880339
id,random,candidate_core_0,0.0625,0.04424778761061947,0.07540321527837449,0.018252212389380573
id,random,candidate_core_1,0.0625,0.061946902654867256,0.002284945917526503,0.0005530973451327581
id,random,candidate_core_2,0.0625,0.04424778761061947,0.07540321527837449,0.018252212389380573
id,random,candidate_core_3,0.0625,0.07079646017699115,0.03427418876289749,0.00829646017699115
id,random,candidate_core_4,0.0625,0.04424778761061947,0.07540321527837449,0.018252212389380573
id,random,candidate_core_5,0.0625,0.04424778761061947,0.07540321527837449,0.018252212389380573
