split,model,metric,value
calibration,linear_point,mae,2.537638952707751
calibration,linear_point,rmse,3.1488182820732886
calibration,linear_point,max_abs_error,7.69669324959866
calibration,forest_point,mae,2.4739996372534696
calibration,forest_point,rmse,3.1768622759372485
calibration,forest_point,max_abs_error,8.098976614099684
calibration,quantile_upper,empirical_coverage,0.648989898989899
calibration,quantile_upper,average_bound,49.64049531426446
calibration,quantile_upper,average_conservatism,3.5785629757249504
calibration,conformal_upper,empirical_coverage,0.9008838383838383
calibration,conformal_upper,average_bound,51.489614723343195
calibration,conformal_upper,average_conservatism,5.427682384803681
test_id,linear_point,mae,4.755304644504108
test_id,linear_point,rmse,7.290143880908802
test_id,linear_point,max_abs_error,18.62369552821002
test_id,forest_point,mae,4.688849460767263
test_id,forest_point,rmse,7.112617460506279
test_id,forest_point,max_abs_error,20.782356389266887
test_id,quantile_upper,empirical_coverage,0.6864035087719298
test_id,quantile_upper,average_bound,49.881576135743714
test_id,quantile_upper,average_conservatism,1.6111596643416788
test_id,conformal_upper,empirical_coverage,0.7225877192982456
test_id,conformal_upper,average_bound,51.73069554482245
test_id,conformal_upper,average_conservatism,3.46027907342041
test_ood,linear_point,mae,2.4839325388741376
test_ood,linear_point,rmse,3.8385320322004843
test_ood,linear_point,max_abs_error,14.754951315976882
test_ood,forest_point,mae,2.7685437857293147
test_ood,forest_point,rmse,4.2019122958849815
test_ood,forest_point,max_abs_error,14.819704026891323
test_ood,quantile_upper,empirical_coverage,0.6500912408759124
test_ood,quantile_upper,average_bound,52.377319383651674
test_ood,quantile_upper,average_conservatism,1.8570800029996275
test_ood,conformal_upper,empirical_coverage,0.771441605839416
test_ood,conformal_upper,average_bound,54.226438792730406
test_ood,conformal_upper,average_conservatism,3.7061994120783597
