scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,drift_mean_abs_z,drift_max_ks
random,id,challenging,deployable_baseline_sensor_observed,False,61.34681042870926,39.4993317092913,0,0.0,75,116,0,0.0,2.436698586202241,46.226586906458195,False,,,,,,,0.35764046957268486,0.6609195402298851
round_robin,id,challenging,deployable_baseline_sensor_observed,False,57.83806478835829,39.51614561144827,0,0.0,75,116,0,0.0,0.4330127018922193,44.9688208024869,False,,,,,,,0.2173736587977521,0.6368723532970357
coolest_core_observed,id,challenging,deployable_baseline_sensor_observed,False,75.39018638503794,39.32345568159137,0,0.0,75,116,0,0.0,12.91559135308949,53.72799289485917,False,,,,,,,1.8049278270611187,0.956140350877193
coolest_core_oracle_true_temp,id,challenging,oracle_privileged_true_temperature,True,53.247549163319846,39.510572003426304,0,0.0,75,116,0,0.0,2.7726341266023544,42.93305488295514,False,,,,,,,0.26123617772913044,0.617664851784634
trend_aware_observed,id,challenging,deployable_baseline_sensor_observed,False,80.11426045791882,39.3432180993651,0,0.0,75,116,0,0.0,12.270391191808027,52.08573728995596,False,,,,,,,1.6163987988944029,0.956140350877193
point_prediction_rf,id,challenging,model_based_sensor_observed,False,51.52279585889921,39.51711506015035,0,0.0,75,116,0,0.0,1.5206906325745548,42.528294047671686,False,,,,,,,0.23234550902730583,0.5839382940108893
uncalibrated_quantile,id,challenging,model_based_sensor_observed,False,55.85401286615738,39.508149846817744,0,0.0,75,116,0,0.0,4.866980583482946,45.918217223590545,False,,,,,,,0.46631200674043033,0.8245614035087719
conformal_upper_bound,id,challenging,model_based_sensor_observed,False,51.70724331400592,39.50358160193156,0,0.0,75,116,0,0.0,2.1065374432940898,42.64282377634052,False,0.9735991379310345,0.9741379310344828,0.07413793103448274,3.0,48.82739634303481,43.3889623620699,0.3146166285069862,0.9482758620689655
