scheduler,split,episode_id,timestep,max_temperature,average_temperature,hotspot
random,id,7,0,35.07238859699778,35.00876409979822,False
random,id,7,1,35.20162651619496,35.02997658204851,False
random,id,7,2,35.40386927380263,35.058367929090124,False
random,id,7,3,35.60086128313708,35.09047917855829,False
random,id,7,4,35.88803129659025,35.12757713842967,False
random,id,7,5,36.171061276732175,35.17030686588246,False
random,id,7,6,36.45240673338565,35.214994953373065,False
random,id,7,7,36.73291907405815,35.27236872148039,False
random,id,7,8,37.005334954491744,35.32863596230864,False
random,id,7,9,37.274740808365706,35.39745221034389,False
random,id,7,10,37.543577127499766,35.469482969365615,False
random,id,7,11,37.809131531026665,35.5407603324012,False
random,id,7,12,38.074024152415404,35.616536629956244,False
random,id,7,13,38.33604370796951,35.692256331972345,False
random,id,7,14,38.59546875640283,35.767680751895625,False
random,id,7,15,38.85214122948419,35.850226830519944,False
random,id,7,16,39.10538368942439,35.94552249031709,False
random,id,7,17,39.362033576605,36.04068332721529,False
random,id,7,18,39.61417770361871,36.13043929282494,False
random,id,7,19,39.8628581772542,36.23374117394563,False
random,id,7,20,40.11062194319194,36.343251139270805,False
random,id,7,21,40.354972470027825,36.45106765053937,False
random,id,7,22,40.67351059827416,36.569961465794094,False
random,id,7,23,40.992435371995334,36.689430001972866,False
random,id,7,24,41.30538206054343,36.811364705673135,False
random,id,7,25,41.61618496016235,36.93921497621753,False
random,id,7,26,41.92470510035889,37.07733017911594,False
random,id,7,27,42.23447082080123,37.21483302617804,False
random,id,7,28,42.53836135528821,37.35206740544775,False
random,id,7,29,42.75554361508909,37.49014785790454,False
random,id,7,30,42.970477162939865,37.6236572034634,False
random,id,7,31,43.18516749612506,37.7703151439907,False
random,id,7,32,43.40098330427075,37.91764829473415,False
random,id,7,33,43.614960937574935,38.06482764711957,False
random,id,7,34,43.82847960919535,38.210357671035894,False
random,id,7,35,44.04021766870073,38.36099465178967,False
random,id,7,36,44.25113426809638,38.51070430780128,False
random,id,7,37,44.46329760850736,38.68130551818,False
random,id,7,38,44.67510216862381,38.848450004779956,False
random,id,7,39,44.885276715087706,39.009447746461134,False
random,id,7,40,45.09324244874025,39.170042103376844,False
random,id,7,41,45.298138806733235,39.32587124366414,False
random,id,7,42,45.50194641081328,39.482272932764474,False
random,id,7,43,45.70854682882135,39.64634565579813,False
random,id,7,44,46.24200114803113,39.82465893062369,False
random,id,7,45,46.859003927831296,39.99826093113171,False
random,id,7,46,47.47172676951104,40.16257399005802,False
random,id,7,47,48.07696876844215,40.32606451572167,False
random,id,7,48,48.67766582129917,40.488222187624515,False
random,id,7,49,49.270817639127586,40.654001889014786,False
random,id,7,50,49.86245455151407,40.816941109327445,False
random,id,7,51,50.448914236240974,40.97979873436962,False
random,id,7,52,51.03050474477044,41.14438346081644,False
random,id,7,53,51.60817700820306,41.30826734880937,False
random,id,7,54,52.18143284252885,41.471210845846926,False
random,id,7,55,52.75067929626633,41.630962708716176,False
random,id,7,56,53.313138087283,41.787463828179334,False
random,id,7,57,53.87352620179624,41.9436627855731,False
random,id,7,58,54.426660220228285,42.09726476558336,False
random,id,7,59,54.850057182899995,42.248114807617455,False
random,id,7,60,55.26981612551582,42.39056845643951,False
random,id,7,61,55.59875451103946,42.526526983939426,False
random,id,7,62,55.92653688091371,42.662526921600616,False
random,id,7,63,56.25221899453794,42.79735980905299,False
random,id,7,64,56.57376289279941,42.93704323760324,False
random,id,7,65,56.89114675267354,43.068637021234466,False
random,id,7,66,57.211857478044955,43.19387690901552,False
random,id,7,67,57.52873810323238,43.31610710310227,False
random,id,7,68,57.843530288997286,43.45534461647408,False
random,id,7,69,58.01181549451322,43.58468416882107,False
random,id,7,70,58.17874247283194,43.713550540834035,False
random,id,7,71,58.34635260166906,43.828727148356464,False
random,id,7,72,58.657511612156625,43.9429409155808,False
random,id,7,73,58.9668829131556,44.05596747889027,False
random,id,7,74,59.2748466457517,44.16120816635389,False
random,id,7,75,59.57673790488646,44.26833188262931,False
random,id,7,76,59.88075081960544,44.37718140014668,False
random,id,7,77,60.1819824105225,44.48475327514794,False
random,id,7,78,60.482906157864235,44.588338640925194,False
random,id,7,79,60.626989672133675,44.68135854055294,False
random,id,7,80,60.77384396029245,44.78333276955739,False
random,id,7,81,60.919811653108574,44.888455040493284,False
random,id,7,82,61.06327082399619,45.00290274290046,False
random,id,7,83,61.20767239995003,45.1104309742839,False
random,id,7,84,61.180496021816545,45.206903094181236,False
random,id,7,85,61.153686465995115,45.30171652307962,False
random,id,7,86,61.20032278756585,45.402134313031766,False
random,id,7,87,61.25196889046036,45.50182049988483,False
random,id,7,88,61.298718808286296,45.60868194846981,False
random,id,7,89,61.34681042870926,45.7003414319827,False
random,id,8,0,35.003761534143536,35.0000710123526,False
random,id,8,1,35.08747276099477,35.005507563983,False
random,id,8,2,35.1719694192746,35.01417533661378,False
random,id,8,3,35.2585574561415,35.03422218915931,False
random,id,8,4,35.36739091881062,35.05394971525134,False
random,id,8,5,35.546752880173784,35.07246835206327,False
random,id,8,6,35.72790955894801,35.09466202408588,False
random,id,8,7,35.906217644569466,35.11974884195327,False
random,id,8,8,36.08325575958505,35.145543831226696,False
random,id,8,9,36.25943694377862,35.174783461243734,False
random,id,8,10,36.43519204340887,35.2103511229818,False
random,id,8,11,36.60752090332621,35.2491314883932,False
random,id,8,12,36.77581284067174,35.28750225786979,False
random,id,8,13,36.94799060138365,35.34238358861753,False
random,id,8,14,37.1173375317604,35.40602955491624,False
random,id,8,15,37.28689538102686,35.47366505217775,False
random,id,8,16,37.45464808637515,35.549677614733724,False
random,id,8,17,37.61870132835517,35.63548660077382,False
random,id,8,18,37.782440503021654,35.72153833870114,False
random,id,8,19,37.94648648249637,35.81135499625372,False
random,id,8,20,38.107456918973966,35.89616020801623,False
random,id,8,21,38.26722890617526,35.98056350677801,False
random,id,8,22,38.42773939038681,36.06804546519268,False
random,id,8,23,38.586551677262506,36.15019312306634,False
random,id,8,24,38.74778403021106,36.232573084816245,False
random,id,8,25,38.96948219421178,36.3141240346343,False
random,id,8,26,39.28401807071069,36.39493156983126,False
random,id,8,27,39.591911524906244,36.481357241597856,False
