scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,drift_mean_abs_z,drift_max_ks
random,ood,normal,deployable_baseline_sensor_observed,False,67.17159326783256,39.221903683021445,0,0.0,36,92,0,0.0,3.2307119958300214,47.26363622400738,False,,,,,,,2377719.4342469797,0.9565217391304348
round_robin,ood,normal,deployable_baseline_sensor_observed,False,55.30963205726171,39.18987890682365,0,0.0,36,92,0,0.0,0.4330127018922193,43.284953174830164,False,,,,,,,2377719.7869487214,0.9782608695652174
coolest_core_observed,ood,normal,deployable_baseline_sensor_observed,False,77.56646717871949,39.06150393609436,0,0.0,36,92,0,0.0,10.407329148249325,53.96765884586728,False,,,,,,,2377722.045602427,0.9565217391304348
coolest_core_oracle_true_temp,ood,normal,oracle_privileged_true_temperature,True,58.971730610903556,39.16440813469555,0,0.0,36,92,0,0.0,2.6100766272276377,46.189422120065665,False,,,,,,,2377719.7732176078,0.9782608695652174
trend_aware_observed,ood,normal,deployable_baseline_sensor_observed,False,72.90462830602814,39.06689650714382,0,0.0,36,92,0,0.0,9.46374661537385,52.26225076820679,False,,,,,,,2377721.8435062678,0.9565217391304348
point_prediction_rf,ood,normal,model_based_sensor_observed,False,49.945375378058806,39.202928246923,0,0.0,36,92,0,0.0,1.75,41.7326659467858,False,,,,,,,2377719.667598968,0.9130434782608696
uncalibrated_quantile,ood,normal,model_based_sensor_observed,False,49.54242545043277,39.193018957399325,0,0.0,36,92,0,0.0,2.165063509461097,42.03513417756745,False,,,,,,,2377719.5863693026,0.9782608695652174
conformal_upper_bound,ood,normal,model_based_sensor_observed,False,50.6771342910073,39.187796410486136,0,0.0,36,92,0,0.0,2.0463381929681126,42.06790490897343,False,0.48233695652173914,0.4782608695652174,-0.4217391304347826,48.0,42.98449870325253,43.48906463271957,2377719.676598944,0.9565217391304348
