scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,average_selected_conservatism,drift_mean_abs_z,drift_max_ks
random,ood,normal,deployable_baseline_sensor_observed,False,108.13431628927644,47.44852492497951,67,0.08933333333333333,363,525,0,0.0,5.790280109804706,61.74972794021779,False,,,,,,,,1.4088358141579227,0.8571035837015217
round_robin,ood,normal,deployable_baseline_sensor_observed,False,87.47712884166178,47.496882705779775,5,0.006666666666666667,363,525,0,0.0,0.3903123748998999,55.544041952345374,False,,,,,,,,1.3454772554748422,0.8571035837015217
coolest_core_observed,ood,normal,deployable_baseline_sensor_observed,False,130.0,46.605759904626254,352,0.4693333333333333,363,525,0,0.0,56.852021457024726,82.66133549399999,True,,,,,,,,3.5119035690563987,0.9161904761904762
coolest_core_oracle_true_temp,ood,normal,oracle_privileged_true_temperature,True,80.62449802247176,47.45127055561576,0,0.0,363,525,0,0.0,5.433906858789539,55.75382585856767,False,,,,,,,,1.3722588529306066,0.8571035837015217
trend_aware_observed,ood,normal,deployable_baseline_sensor_observed,False,130.0,46.72764861720418,304,0.4053333333333333,363,525,0,0.0,51.68440135814674,76.49436487408485,True,,,,,,,,3.273251413630164,0.9276190476190476
point_prediction_rf,ood,normal,model_based_sensor_observed,False,71.57966274959954,47.47038252319191,0,0.0,363,525,0,0.0,4.049980709830604,51.69649832005223,False,,,,,,,,1.3571075358661218,0.8571035837015217
uncalibrated_quantile,ood,normal,model_based_sensor_observed,False,97.47101828200522,47.45045670467239,40,0.05333333333333334,363,525,0,0.0,11.029612130532968,57.05766531174547,False,,,,,,,,1.4163908745858311,0.9230240549828179
conformal_upper_bound,ood,normal,model_based_sensor_observed,False,72.66423826191347,47.453655887269306,0,0.0,363,525,0,0.0,4.003416509682698,51.5628218726531,False,0.5501190476190476,0.5466666666666666,-0.3533333333333334,238.0,52.676018432942776,53.03659959021559,-0.3605811572728194,1.3740109420180417,0.8571035837015217
