scheduler,split,preset,baseline_type,uses_oracle,peak_temperature,average_temperature,hotspot_violations,hotspot_timestep_pct,completed_tasks,assigned_tasks,dropped_tasks,average_waiting_time,assignment_load_std,average_max_temperature,hit_max_temperature_cap,marginal_coverage,selected_core_coverage,selected_coverage_gap,selected_bound_violations,average_selected_bound,average_selected_actual,drift_mean_abs_z,drift_max_ks
random,ood,challenging,deployable_baseline_sensor_observed,False,75.06501962952746,40.909713175747065,0,0.0,40,104,0,0.0,3.724916106437835,50.75131767345788,False,,,,,,,1.0832139731080628,0.9615384615384616
round_robin,ood,challenging,deployable_baseline_sensor_observed,False,68.75224731481033,40.87057846950793,0,0.0,40,104,0,0.0,0.5,47.3824209275527,False,,,,,,,1.069636909803605,0.9423076923076923
coolest_core_observed,ood,challenging,deployable_baseline_sensor_observed,False,93.34544715777845,40.68671379433896,8,0.05714285714285714,40,104,0,0.0,11.319231422671772,58.15714253497669,False,,,,,,,2.3605609713594915,0.9519230769230769
coolest_core_oracle_true_temp,ood,challenging,oracle_privileged_true_temperature,True,61.492292903985536,40.834745112262745,0,0.0,40,104,0,0.0,2.179449471770337,48.2044892041095,False,,,,,,,1.0255682103749404,0.8173076923076923
trend_aware_observed,ood,challenging,deployable_baseline_sensor_observed,False,91.63032785668116,40.72194867360019,10,0.07142857142857142,40,104,0,0.0,10.111874208078342,58.59106103917471,False,,,,,,,2.248145423550424,0.9519230769230769
point_prediction_rf,ood,challenging,model_based_sensor_observed,False,55.055625965938475,40.88378859933938,0,0.0,40,104,0,0.0,1.5811388300841898,43.19464153014146,False,,,,,,,0.9073393053421432,0.9519230769230769
uncalibrated_quantile,ood,challenging,model_based_sensor_observed,False,59.69707509204474,40.87425707210204,0,0.0,40,104,0,0.0,2.449489742783178,47.44787785013924,False,,,,,,,0.9920763537661665,0.7788461538461539
conformal_upper_bound,ood,challenging,model_based_sensor_observed,False,56.768592366832856,40.874121331381346,0,0.0,40,104,0,0.0,1.3693063937629153,43.633537600156174,False,0.7662259615384616,0.7596153846153846,-0.14038461538461544,25.0,48.11141014286122,44.904391325166564,0.9415896884484798,0.9519230769230769
