split,scheduler,feature,calibration_mean,visited_mean,abs_mean_z_shift,ks_stat
id,random,sensor_temp_imputed_0,37.765489751396935,37.70438400939328,0.01946129866569813,0.12623376623376623
id,random,sensor_temp_imputed_1,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_2,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_3,36.56033554229409,36.237895452640764,0.1711268115281006,0.16051948051948062
id,random,sensor_temp_imputed_4,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_5,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_6,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_7,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_8,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_9,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_10,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_11,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_12,37.48134043466774,36.32410845598375,0.5911892962681706,0.33731601731601735
id,random,sensor_temp_imputed_13,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_14,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,random,sensor_temp_imputed_15,37.77118086630345,35.7299494767311,0.6925387680121213,0.3974025974025974
id,random,power_0,2.563434632365304,1.778910242354618,0.400160831493408,0.5577489177489178
id,random,power_1,0.8319291536407779,1.106095374163029,0.42178932490824933,0.44380952380952376
id,random,power_2,0.9332700347521482,1.9595751784736433,1.41818756762097,0.5603463203463204
id,random,power_3,1.2547101397432776,0.9409561217837411,0.24142075510251937,0.2623376623376623
id,random,power_4,0.36385102589044366,6.405629753112812,17.54124841957563,0.76
id,random,power_5,1.2744690515135002,2.0040916916960314,0.6093935437108536,0.46874458874458874
id,random,power_6,0.9953663323745864,0.7027782785028048,0.258137180430729,0.22857142857142865
id,random,power_7,2.161566862679772,1.7678377065998043,0.16596161099940385,0.2573160173160173
id,random,power_8,1.0355278995350983,1.6018106802600418,0.5943431543018961,0.26441558441558444
id,random,power_9,1.6638695318274446,1.4201620304651161,0.22599012771070623,0.3497835497835498
id,random,power_10,1.89588028907264,1.45465177803791,0.32746922230610254,0.37471861471861473
id,random,power_11,2.679719894171163,0.7602842257419353,1.5697960142564806,0.7142857142857143
id,random,power_12,1.7475649453379103,0.8079861414626216,1.1510785644684212,0.5627705627705627
id,random,power_13,2.4408216179582607,2.167461386455965,0.18352481390168474,0.33333333333333337
id,random,power_14,1.0045260652331267,0.5328507930677459,0.5919543399655963,0.5399134199134199
id,random,power_15,2.451275050080855,0.729222205552606,1.0772329773555656,0.6315151515151516
id,random,load_0,69.46753246753246,46.13333333333333,0.5011280738335584,0.33142857142857146
id,random,load_1,12.844155844155845,21.746666666666666,0.8391609700471201,0.401038961038961
id,random,load_2,10.96103896103896,34.68,2.519747706332428,0.6003463203463204
id,random,load_3,18.233766233766232,12.693333333333333,0.2812361915346557,0.2623376623376623
id,random,load_4,7.987012987012987,71.53333333333333,7.198208579344361,0.6943722943722943
id,random,load_5,26.649350649350648,23.16,0.09711952389901267,0.24675324675324672
id,random,load_6,20.337662337662337,11.373333333333333,0.378376960091408,0.2973160173160173
id,random,load_7,26.51948051948052,26.30666666666667,0.007462979262051137,0.10406926406926403
id,random,load_8,26.01298701298701,23.373333333333335,0.11393152703414275,0.30476190476190473
id,random,load_9,20.363636363636363,34.61333333333334,1.102125480403438,0.3497835497835498
id,random,load_10,30.792207792207794,34.42666666666667,0.1520840960323613,0.37471861471861473
id,random,load_11,34.35064935064935,10.586666666666666,1.0669011843913139,0.5504761904761906
id,random,load_12,27.5974025974026,23.52,0.2315783859099141,0.37610389610389605
id,random,load_13,46.18181818181818,36.70666666666666,0.2986635363157862,0.2384415584415585
id,random,load_14,18.4025974025974,9.986666666666666,0.5252432048556748,0.5399134199134199
id,random,load_15,41.285714285714285,7.773333333333333,1.1311745323560989,0.6315151515151516
id,random,candidate_core_0,0.0625,0.05333333333333334,0.03786917033980584,0.009166666666666656
id,random,candidate_core_1,0.0625,0.06666666666666667,0.017213259245366295,0.004166666666666652
id,random,candidate_core_2,0.0625,0.06666666666666667,0.017213259245366295,0.004166666666666652
id,random,candidate_core_3,0.0625,0.05333333333333334,0.03786917033980584,0.009166666666666656
id,random,candidate_core_4,0.0625,0.18666666666666668,0.5129551255119157,0.12416666666666665
id,random,candidate_core_5,0.0625,0.04,0.092951599924978,0.022499999999999964
id,random,candidate_core_6,0.0625,0.05333333333333334,0.03786917033980584,0.009166666666666656
id,random,candidate_core_7,0.0625,0.02666666666666667,0.14803402951015013,0.035833333333333384
id,random,candidate_core_8,0.0625,0.09333333333333334,0.12737811841571062,0.03083333333333338
id,random,candidate_core_9,0.0625,0.10666666666666667,0.18246054800088277,0.04416666666666669
id,random,candidate_core_10,0.0625,0.08,0.07229568883053845,0.01749999999999996
id,random,candidate_core_11,0.0625,0.04,0.092951599924978,0.022499999999999964
id,random,candidate_core_12,0.0625,0.04,0.092951599924978,0.022499999999999964
id,random,candidate_core_13,0.0625,0.04,0.092951599924978,0.022499999999999964
id,random,candidate_core_14,0.0625,0.013333333333333334,0.2031164590953223,0.04916666666666669
id,random,candidate_core_15,0.0625,0.04,0.092951599924978,0.022499999999999964
id,random,candidate_task_power,1.6180304008003805,1.5438484669859684,0.08500671510313725,0.12155844155844164
id,random,total_power,25.297782526176128,26.140303587730426,0.06690496602530167,0.227012987012987
id,random,total_load,437.987012987013,428.61333333333334,0.045497528266207204,0.08259740259740261
id,random,max_observed_temp,38.59309706913552,38.52209034262839,0.023128075717001352,0.10337662337662334
id,random,mean_observed_temp,37.39458664866576,36.49908434868723,0.38016884284853436,0.24675324675324672
id,round_robin,sensor_temp_imputed_0,37.765489751396935,38.70069946322812,0.29785082252854866,0.2261471861471861
id,round_robin,sensor_temp_imputed_1,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_2,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_3,36.56033554229409,37.28133221363341,0.3826504998845596,0.43220779220779226
id,round_robin,sensor_temp_imputed_4,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_5,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_6,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_7,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_8,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_9,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_10,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_11,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_12,37.48134043466774,36.29025401351475,0.6084843454782382,0.31982683982683985
id,round_robin,sensor_temp_imputed_13,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_14,37.39458664866576,37.65490816628437,0.1105146576664443,0.1257142857142857
id,round_robin,sensor_temp_imputed_15,37.77118086630345,38.34734697476118,0.19547875314872973,0.12
id,round_robin,power_0,2.563434632365304,2.725336089365376,0.0825807616411518,0.2377489177489177
id,round_robin,power_1,0.8319291536407779,2.915166951910438,3.2049442957696392,0.5904761904761904
id,round_robin,power_2,0.9332700347521482,1.368869536041136,0.6019279947773274,0.30649350649350643
id,round_robin,power_3,1.2547101397432776,1.2781854246865922,0.018063261959541412,0.3683116883116883
id,round_robin,power_4,0.36385102589044366,0.9918385368832643,1.823251964704171,0.52
id,round_robin,power_5,1.2744690515135002,1.0951727302575494,0.1497514119862693,0.27774891774891775
id,round_robin,power_6,0.9953663323745864,0.5793157107439257,0.3670626088898859,0.401904761904762
id,round_robin,power_7,2.161566862679772,1.3853791032284377,0.3271725474412126,0.35064935064935066
id,round_robin,power_8,1.0355278995350983,2.843935028807086,1.8980170933285239,0.5066666666666666
id,round_robin,power_9,1.6638695318274446,1.6726958280416042,0.008184630335546134,0.349090909090909
id,round_robin,power_10,1.89588028907264,1.2326479320337256,0.49223515420262914,0.28138528138528135
id,round_robin,power_11,2.679719894171163,1.0142520151136734,1.362090369278266,0.700952380952381
id,round_robin,power_12,1.7475649453379103,0.9363307767219546,0.993843473699871,0.7094372294372294
id,round_robin,power_13,2.4408216179582607,2.521853167546415,0.054401841762439146,0.18181818181818177
id,round_robin,power_14,1.0045260652331267,1.166464547993722,0.20323343905119418,0.29402597402597397
id,round_robin,power_15,2.451275050080855,2.4128602083555246,0.024030467158953434,0.24484848484848487
id,round_robin,load_0,69.46753246753246,68.62666666666667,0.018058535316209087,0.2076190476190476
id,round_robin,load_1,12.844155844155845,47.92,3.3062896517477403,0.6803463203463204
id,round_robin,load_2,10.96103896103896,26.96,1.699625262481134,0.32173160173160176
id,round_robin,load_3,18.233766233766232,25.893333333333334,0.3888049036237019,0.247965367965368
id,round_robin,load_4,7.987012987012987,15.52,0.8532990021996233,0.25748917748917743
id,round_robin,load_5,26.649350649350648,18.906666666666666,0.215503071392013,0.24675324675324672
id,round_robin,load_6,20.337662337662337,8.666666666666666,0.4926231356634453,0.35064935064935066
id,round_robin,load_7,26.51948051948052,21.466666666666665,0.17719262397612123,0.2166233766233766
id,round_robin,load_8,26.01298701298701,31.32,0.22905887172280323,0.13558441558441559
id,round_robin,load_9,20.363636363636363,31.133333333333333,0.8329691130813663,0.4143722943722944
id,round_robin,load_10,30.792207792207794,22.133333333333333,0.3623309934774514,0.28207792207792204
id,round_robin,load_11,34.35064935064935,17.30666666666667,0.7652019257084651,0.3504761904761905
id,round_robin,load_12,27.5974025974026,11.333333333333334,0.9237270096652935,0.41922077922077927
id,round_robin,load_13,46.18181818181818,27.32,0.5945379670730392,0.5051082251082251
id,round_robin,load_14,18.4025974025974,16.04,0.14745109845378432,0.09593073593073598
