episode_id,timestep,candidate_core,task_id,task_power,task_duration,split,workload_type
4,2,0,4000000,2.6336861200095196,46,calibration,id
4,2,1,4000000,2.6336861200095196,46,calibration,id
4,2,2,4000000,2.6336861200095196,46,calibration,id
4,2,3,4000000,2.6336861200095196,46,calibration,id
4,2,4,4000000,2.6336861200095196,46,calibration,id
4,2,5,4000000,2.6336861200095196,46,calibration,id
4,2,6,4000000,2.6336861200095196,46,calibration,id
4,2,7,4000000,2.6336861200095196,46,calibration,id
4,2,8,4000000,2.6336861200095196,46,calibration,id
4,2,9,4000000,2.6336861200095196,46,calibration,id
4,2,10,4000000,2.6336861200095196,46,calibration,id
4,2,11,4000000,2.6336861200095196,46,calibration,id
4,2,12,4000000,2.6336861200095196,46,calibration,id
4,2,13,4000000,2.6336861200095196,46,calibration,id
4,2,14,4000000,2.6336861200095196,46,calibration,id
4,2,15,4000000,2.6336861200095196,46,calibration,id
4,4,0,4000001,2.3944939281861206,68,calibration,id
4,4,1,4000001,2.3944939281861206,68,calibration,id
4,4,2,4000001,2.3944939281861206,68,calibration,id
4,4,3,4000001,2.3944939281861206,68,calibration,id
4,4,4,4000001,2.3944939281861206,68,calibration,id
4,4,5,4000001,2.3944939281861206,68,calibration,id
4,4,6,4000001,2.3944939281861206,68,calibration,id
4,4,7,4000001,2.3944939281861206,68,calibration,id
4,4,8,4000001,2.3944939281861206,68,calibration,id
4,4,9,4000001,2.3944939281861206,68,calibration,id
4,4,10,4000001,2.3944939281861206,68,calibration,id
4,4,11,4000001,2.3944939281861206,68,calibration,id
4,4,12,4000001,2.3944939281861206,68,calibration,id
4,4,13,4000001,2.3944939281861206,68,calibration,id
4,4,14,4000001,2.3944939281861206,68,calibration,id
4,4,15,4000001,2.3944939281861206,68,calibration,id
4,7,0,4000002,2.4014517351534264,70,calibration,id
4,7,1,4000002,2.4014517351534264,70,calibration,id
4,7,2,4000002,2.4014517351534264,70,calibration,id
4,7,3,4000002,2.4014517351534264,70,calibration,id
4,7,4,4000002,2.4014517351534264,70,calibration,id
4,7,5,4000002,2.4014517351534264,70,calibration,id
4,7,6,4000002,2.4014517351534264,70,calibration,id
4,7,7,4000002,2.4014517351534264,70,calibration,id
4,7,8,4000002,2.4014517351534264,70,calibration,id
4,7,9,4000002,2.4014517351534264,70,calibration,id
4,7,10,4000002,2.4014517351534264,70,calibration,id
4,7,11,4000002,2.4014517351534264,70,calibration,id
4,7,12,4000002,2.4014517351534264,70,calibration,id
4,7,13,4000002,2.4014517351534264,70,calibration,id
4,7,14,4000002,2.4014517351534264,70,calibration,id
4,7,15,4000002,2.4014517351534264,70,calibration,id
4,10,0,4000003,1.9762385875112884,27,calibration,id
4,10,1,4000003,1.9762385875112884,27,calibration,id
4,10,2,4000003,1.9762385875112884,27,calibration,id
4,10,3,4000003,1.9762385875112884,27,calibration,id
4,10,4,4000003,1.9762385875112884,27,calibration,id
4,10,5,4000003,1.9762385875112884,27,calibration,id
4,10,6,4000003,1.9762385875112884,27,calibration,id
4,10,7,4000003,1.9762385875112884,27,calibration,id
4,10,8,4000003,1.9762385875112884,27,calibration,id
4,10,9,4000003,1.9762385875112884,27,calibration,id
4,10,10,4000003,1.9762385875112884,27,calibration,id
4,10,11,4000003,1.9762385875112884,27,calibration,id
4,10,12,4000003,1.9762385875112884,27,calibration,id
4,10,13,4000003,1.9762385875112884,27,calibration,id
4,10,14,4000003,1.9762385875112884,27,calibration,id
4,10,15,4000003,1.9762385875112884,27,calibration,id
4,12,0,4000004,3.148909393314054,89,calibration,id
